Train_ID,Origin,Destination,Departure_Time,Arrival_Time,Ticket_Price,Seats_Available
0,Los Angeles,San Jose,2023-09-10 19:07:41,2023-09-10 23:22:45,79.4,29
1,New York,Houston,2023-09-10 19:08:01,2023-09-11 06:55:18,34.1,19
2,Los Angeles,Dallas,2023-09-10 13:19:51,2023-09-11 05:15:26,45.95,10
3,Chicago,Dallas,2023-09-10 19:46:22,2023-09-11 03:14:56,51.63,17
5,San Antonio,Dallas,2023-09-10 10:53:12,2023-09-11 01:41:58,66.7,57
6,Chicago,San Diego,2023-09-10 11:33:54,2023-09-11 06:39:40,39.75,20
10,Phoenix,San Diego,2023-09-10 12:53:31,2023-09-10 21:04:56,52.57,46
11,Philadelphia,Dallas,2023-09-10 19:10:43,2023-09-11 04:51:17,37.6,46
12,Chicago,Phoenix,2023-09-10 08:06:56,2023-09-11 02:34:31,46.51,24
13,San Antonio,New York,2023-09-10 19:05:35,2023-09-10 22:34:30,61.21,14
14,San Diego,Dallas,2023-09-10 17:58:07,2023-09-11 04:16:01,35.97,31
15,San Antonio,Phoenix,2023-09-10 09:14:09,2023-09-11 01:54:16,61.25,30
16,Houston,New York,2023-09-10 17:36:06,2023-09-11 05:16:35,72.21,16
18,Philadelphia,San Jose,2023-09-10 08:22:48,2023-09-11 04:25:17,50.11,60
19,Los Angeles,Philadelphia,2023-09-10 12:29:30,2023-09-11 03:52:14,49.23,30
20,San Diego,New York,2023-09-10 08:00:59,2023-09-10 20:02:44,52.08,43
21,Dallas,New York,2023-09-10 15:44:25,2023-09-11 05:37:42,51.99,32
22,San Diego,Chicago,2023-09-10 10:48:54,2023-09-11 02:11:14,47.98,28
23,Los Angeles,Philadelphia,2023-09-10 15:37:44,2023-09-11 01:50:05,44.21,25
24,New York,San Jose,2023-09-10 10:20:07,2023-09-10 23:03:33,65.11,11
25,Phoenix,San Jose,2023-09-10 15:34:48,2023-09-11 04:35:40,49.37,43
27,San Jose,Dallas,2023-09-10 12:50:15,2023-09-10 20:00:23,32.27,52
28,Phoenix,San Diego,2023-09-10 08:48:43,2023-09-11 01:32:37,45.6,18
29,Phoenix,New York,2023-09-10 10:39:14,2023-09-11 07:43:41,21.95,22
30,San Diego,New York,2023-09-10 11:44:19,2023-09-11 01:10:40,44.49,29
31,Chicago,San Diego,2023-09-10 10:33:21,2023-09-11 01:43:11,37.5,35
32,Dallas,Los Angeles,2023-09-10 08:07:04,2023-09-11 04:30:50,65.01,22
33,Houston,New York,2023-09-10 08:39:44,2023-09-11 05:00:05,32.25,18
34,Chicago,San Jose,2023-09-10 09:50:50,2023-09-11 02:44:55,88.93,31
35,Houston,San Antonio,2023-09-10 18:43:02,2023-09-10 23:11:54,42.99,33
36,New York,San Jose,2023-09-10 19:09:43,2023-09-10 22:42:08,57.46,23
37,Dallas,Chicago,2023-09-10 11:09:54,2023-09-11 06:39:42,55.74,18
38,Phoenix,Los Angeles,2023-09-10 18:53:15,2023-09-10 23:33:36,37.54,52
39,Philadelphia,Los Angeles,2023-09-10 14:00:14,2023-09-11 04:24:54,39.76,50
41,Houston,Chicago,2023-09-10 14:04:55,2023-09-10 21:47:06,66.19,24
42,Houston,San Diego,2023-09-10 15:45:06,2023-09-11 06:21:49,32.64,25
43,Chicago,San Diego,2023-09-10 10:29:43,2023-09-11 07:40:27,33.88,28
44,San Jose,San Antonio,2023-09-10 17:08:28,2023-09-11 01:06:10,65.99,29
45,Chicago,Dallas,2023-09-10 18:34:35,2023-09-11 04:29:59,11.13,15
46,Houston,Los Angeles,2023-09-10 08:18:00,2023-09-10 23:58:26,63.06,56
47,San Diego,Chicago,2023-09-10 18:40:22,2023-09-11 04:22:44,51.89,41
48,Dallas,Houston,2023-09-10 09:59:20,2023-09-11 04:47:44,41.74,31
49,Philadelphia,San Antonio,2023-09-10 17:31:33,2023-09-11 03:42:33,73.82,54
50,Dallas,Phoenix,2023-09-10 15:35:02,2023-09-11 04:10:59,51.71,26
52,San Antonio,Dallas,2023-09-10 16:00:20,2023-09-11 00:20:16,43.18,34
53,New York,Houston,2023-09-10 15:56:32,2023-09-11 02:46:33,38.84,44
54,San Antonio,Chicago,2023-09-10 09:43:48,2023-09-11 05:02:06,70.24,11
55,Dallas,Philadelphia,2023-09-10 15:30:17,2023-09-11 07:33:07,58.37,45
56,San Jose,Los Angeles,2023-09-10 11:16:56,2023-09-11 06:10:29,36.34,47
58,New York,San Jose,2023-09-10 10:37:49,2023-09-10 21:23:13,41.59,44
60,San Diego,Philadelphia,2023-09-10 14:06:43,2023-09-10 22:09:49,56.98,56
61,Dallas,San Diego,2023-09-10 17:06:44,2023-09-10 23:29:35,61.2,23
62,Chicago,Los Angeles,2023-09-10 10:32:32,2023-09-11 05:12:21,27.65,60
63,Phoenix,New York,2023-09-10 13:46:20,2023-09-11 02:19:03,37.64,11
65,San Antonio,Los Angeles,2023-09-10 12:57:08,2023-09-11 05:20:20,72.8,32
66,San Antonio,San Diego,2023-09-10 17:29:59,2023-09-10 20:14:33,55.53,44
67,Phoenix,Dallas,2023-09-10 12:02:29,2023-09-10 23:51:54,57.64,41
68,Chicago,Dallas,2023-09-10 09:36:49,2023-09-11 01:43:05,54.4,57
69,Philadelphia,Houston,2023-09-10 13:42:06,2023-09-11 02:16:06,73.7,23
70,San Jose,Dallas,2023-09-10 18:15:43,2023-09-11 07:48:01,62.88,27
71,Los Angeles,San Diego,2023-09-10 16:29:49,2023-09-10 23:39:19,36.86,22
72,San Diego,Philadelphia,2023-09-10 14:37:37,2023-09-11 03:43:36,46.49,56
73,Philadelphia,San Antonio,2023-09-10 11:01:58,2023-09-10 22:40:41,34.27,60
74,San Jose,Phoenix,2023-09-10 15:38:15,2023-09-11 00:05:18,48.88,32
75,San Diego,Chicago,2023-09-10 18:57:18,2023-09-11 00:24:16,36.26,40
76,Phoenix,Los Angeles,2023-09-10 16:23:28,2023-09-11 07:02:28,33.6,13
77,Chicago,Los Angeles,2023-09-10 16:29:32,2023-09-11 02:46:42,64.45,42
79,Philadelphia,Chicago,2023-09-10 09:07:55,2023-09-11 06:41:14,59.42,18
80,Dallas,Phoenix,2023-09-10 18:37:52,2023-09-11 01:24:57,34.96,56
81,New York,Los Angeles,2023-09-10 08:29:13,2023-09-11 04:20:46,49.78,23
82,San Antonio,San Jose,2023-09-10 13:55:57,2023-09-11 03:55:40,70.52,45
83,San Diego,Los Angeles,2023-09-10 18:50:07,2023-09-10 21:44:35,52.02,11
84,San Jose,Chicago,2023-09-10 08:38:10,2023-09-10 21:17:30,77.18,25
85,Chicago,Dallas,2023-09-10 16:43:46,2023-09-11 06:24:49,76.49,57
86,Chicago,Houston,2023-09-10 16:28:18,2023-09-11 00:50:23,59.53,31
87,Dallas,Phoenix,2023-09-10 18:57:34,2023-09-10 21:08:18,76.76,27
88,San Antonio,Philadelphia,2023-09-10 16:32:12,2023-09-10 23:38:02,43.03,32
89,San Jose,San Diego,2023-09-10 11:10:39,2023-09-11 01:41:53,35.51,58
90,Los Angeles,San Diego,2023-09-10 11:31:26,2023-09-11 03:31:08,72.27,52
92,New York,Philadelphia,2023-09-10 11:16:23,2023-09-11 03:22:23,85.26,41
93,San Jose,Houston,2023-09-10 09:11:39,2023-09-11 07:10:58,56.87,23
94,San Jose,Dallas,2023-09-10 11:07:56,2023-09-11 02:22:34,54.1,19
95,New York,San Antonio,2023-09-10 12:48:02,2023-09-11 05:48:52,55.59,24
98,Los Angeles,Houston,2023-09-10 09:52:39,2023-09-10 20:33:24,53.21,20
99,San Jose,Los Angeles,2023-09-10 11:01:42,2023-09-11 04:59:02,44.37,23
